Array: 100, Tempo: 0,000117, Tipo: Desordenado
Array: 1000, Tempo: 0,001329, Tipo: Desordenado
Array: 10000, Tempo: 0,006952, Tipo: Desordenado
Array: 100, Tempo: 0,000089, Tipo: Ordenado
Array: 1000, Tempo: 0,000713, Tipo: Ordenado
Array: 10000, Tempo: 0,002229, Tipo: Ordenado
Array: 100, Tempo: 0,000113, Tipo: Parcialmente Ordenado
Array: 1000, Tempo: 0,000266, Tipo: Parcialmente Ordenado
Array: 10000, Tempo: 0,002869, Tipo: Parcialmente Ordenado
